Frame count,Position,'Rotation,Tracker confidence
49,"x: 0.0173772, y: 0.150855, z: -0.000148114","x: -0.1012, y: -0.0681392, z: 0.98007, w: -0.156774",3
50,"x: 0.0164556, y: 0.139605, z: -0.00662686","x: -0.103161, y: -0.0853451, z: 0.986122, w: -0.0981668",3
51,"x: 0.0137817, y: 0.134598, z: -0.0135567","x: -0.0903008, y: -0.094551, z: 0.990534, w: -0.0418117",3
52,"x: 0.0127449, y: 0.143258, z: -0.017767","x: -0.0787413, y: -0.0975261, z: 0.991736, w: -0.0273592",3
53,"x: 0.0136858, y: 0.156081, z: -0.0190237","x: -0.0743301, y: -0.0913965, z: 0.991949, w: -0.046465",3
54,"x: 0.0129234, y: 0.182247, z: -0.0201365","x: -0.0796831, y: -0.0805189, z: 0.989846, w: -0.0858624",3
55,"x: 0.012214, y: 0.208731, z: -0.0201409","x: -0.085076, y: -0.0667081, z: 0.986029, w: -0.126725",3
56,"x: 0.0101425, y: 0.238615, z: -0.0235577","x: -0.0845776, y: -0.0505499, z: 0.980619, w: -0.169344",3
57,"x: 0.00516235, y: 0.274384, z: -0.026537","x: -0.0739676, y: -0.0308184, z: 0.972047, w: -0.22069",3
58,"x: -0.00383164, y: 0.313155, z: -0.0336182","x: -0.0599461, y: -0.00623313, z: 0.956693, w: -0.284792",3
59,"x: -0.0133007, y: 0.345062, z: -0.0367391","x: -0.0550848, y: 0.0227569, z: 0.934638, w: -0.35057",3
60,"x: -0.0259072, y: 0.369498, z: -0.0408159","x: -0.0533562, y: 0.0494536, z: 0.911374, w: -0.405098",3
61,"x: -0.0446851, y: 0.392565, z: -0.0443117","x: -0.0546661, y: 0.0818466, z: 0.881577, w: -0.461665",3
62,"x: -0.062771, y: 0.406764, z: -0.044549","x: -0.0645635, y: 0.109089, z: 0.857693, w: -0.498291",3
63,"x: -0.083439, y: 0.41582, z: -0.0430142","x: -0.0822948, y: 0.130648, z: 0.835685, w: -0.527057",3
64,"x: -0.105458, y: 0.416325, z: -0.0395582","x: -0.110532, y: 0.149837, z: 0.81596, w: -0.547302",3
