Frame count,Pos x,Pos y,Pos z,Rot x,Rot y,Rot z,Rot w,Tracker confidence
0,-0.015446052886545658,0.015350231900811195,0.11391841620206833,-0.007814755663275719,-0.037763625383377075,-0.02506306767463684,0.9989418387413025,2
1,-0.019081206992268562,0.01699032261967659,0.12620975077152252,-0.0071216463111341,-0.038556452840566635,-0.024113068357110023,0.9989400506019592,2
2,-0.021023713052272797,0.018073836341500282,0.1344180554151535,-0.0062361485324800014,-0.039032094180583954,-0.023228364065289497,0.9989485144615173,2
3,-0.023366807028651237,0.018982907757163048,0.14058351516723633,-0.006045878399163485,-0.039480794221162796,-0.022377287968993187,0.9989514946937561,2
4,-0.02571420930325985,0.01980634406208992,0.14796920120716095,-0.006036979146301746,-0.040063511580228806,-0.02159825526177883,0.9989454746246338,2
5,-0.02791030891239643,0.020817143842577934,0.15501567721366882,-0.006123492959886789,-0.040731530636548996,-0.02070046216249466,0.9989369511604309,2
6,-0.030233805999159813,0.02137715183198452,0.16200962662696838,-0.006414160598069429,-0.041595038026571274,-0.019392304122447968,0.9989258050918579,2
7,-0.032885752618312836,0.021862952038645744,0.16991864144802094,-0.007161147426813841,-0.042122893035411835,-0.01815943233668804,0.9989216923713684,2
8,-0.03538328409194946,0.021865172311663628,0.17559704184532166,-0.007913307286798954,-0.042466726154088974,-0.017187204211950302,0.9989187121391296,2
9,-0.03813483938574791,0.02254231460392475,0.18207715451717377,-0.008418751880526543,-0.04359487444162369,-0.01584567129611969,0.9988881945610046,2
10,-0.03973020985722542,0.023247038945555687,0.1882796734571457,-0.00828738883137703,-0.044544532895088196,-0.014773867093026638,0.9988637566566467,2
11,-0.042321935296058655,0.023611802607774734,0.19466982781887054,-0.00779772037640214,-0.04565810412168503,-0.01356535591185093,0.9988346099853516,2
12,-0.04402254521846771,0.02411908470094204,0.19973108172416687,-0.007426515221595764,-0.04760587960481644,-0.012285237200558186,0.9987630844116211,2
13,-0.04504548758268356,0.02401246502995491,0.20566703379154205,-0.006747217383235693,-0.04882188141345978,-0.011295308358967304,0.9987208843231201,2
14,-0.04626252502202988,0.023900195956230164,0.20950742065906525,-0.006894412450492382,-0.04943730682134628,-0.010818480513989925,0.998694896697998,2
15,-0.04851536452770233,0.023974159732460976,0.2129770666360855,-0.007195267826318741,-0.049762237817049026,-0.01027506310492754,0.9986823797225952,2
16,-0.05021052435040474,0.024749301373958588,0.21776634454727173,-0.0070136794820427895,-0.049606043845415115,-0.009478532709181309,0.9986993074417114,2
17,-0.051569387316703796,0.02484120987355709,0.22140268981456757,-0.007042511831969023,-0.049516741186380386,-0.008807720616459846,0.9987096190452576,2
